D1_0m_A,D1_0m_B,D1_0m_C,D1_10m_A,D1_10m_B,D1_10m_C,D1_1m_A,D1_1m_B,D1_1m_C,D1_5m_A,D1_5m_B,D1_5m_C,D1_9m_A,D1_9m_B,D1_9m_C,D1_SHR_A,D1_SHR_B,D1_SHR_C,D2_0m_A,D2_0m_B,D2_0m_C,D2_10m_A_e,D2_10m_A_m,D2_10m_B,D2_10m_C,D2_1m_A,D2_1m_B,D2_1m_C,D2_5m_A,D2_5m_B,D2_5m_C,D2_9m_A,D2_9m_B,D2_9m_C,D2_SHR_A,D2_SHR_B,D2_SHR_C,D3_0m_A,D3_0m_B,D3_0m_C,D3_10m_A,D3_10m_B,D3_10m_C,D3_1m_A,D3_1m_B,D3_1m_C,D3_5m_A,D3_5m_B,D3_5m_C,D3_9m_A,D3_9m_B,D3_9m_C,D3_SHR_A,D3_SHR_B,D3_SHR_C,sum.taxonomy
0,0,0,0,0.739012828,0,0,0,0,0,0.888204526,0,0,0,0,0,0,0,0,0,0.447810065,0,0,0,0,0,0,0,0,0,0,1,0,0,0.183492549,0,0.254151389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Strongylura;Strongylura exilis
0,0,0,0.404528033,0,0,0,0,0,0,0,0,0,0,0,0.461633692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417574337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Amphistichus;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092822211,1,0.0324028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Passeriformes;Certhiidae;Campylorhynchus;Campylorhynchus zonatus
0,0,0,0,0,0,0,0,0,0,0,0,0,0.302294046,0.326621668,0.286744527,0.290727062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.914096785,0.793373989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070014801,0.290519601,0.061109256,Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;
0.485222406,0.826066867,0.787446463,0.284609183,0.121687373,0.277419451,0.438239657,0.52812098,0.130826404,0.258911694,0.253942428,0.207594698,0.122522249,0.161042006,0.443401572,0.236858967,0.193984932,0.218941476,1,0.708218772,0.469317412,0.047752432,0.327567477,0.06448298,0.325687649,0.409235912,0.562974739,0.506892889,0.795296579,0.451996582,0.735208161,0.210639529,0.154190722,0.258026003,0.426308089,0.235811429,0.32340236,0.645150713,0.550549997,0.673808008,0.059235809,0.087160199,0.027192558,0.602899366,0.603716676,0.367569647,0.092989893,0.233881079,0.361056966,0.06502538,0.113561609,0.038581119,0.319678966,0.229677425,0.422604677,Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.640655795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844067167,0.370462742,0,0,0,Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;;
0,0,0,4.10E-04,0,0,0,0.001433439,0,0.032030382,0.041787948,0,0.032152148,3.16E-04,6.95E-04,0,0,0,0.005442241,0,0,0.624184482,0,0.010254562,1.22E-04,0,0,0,0,0.040247044,0.240216791,4.28E-04,0.077541209,0.076329567,0,3.36E-04,4.05E-04,2.90E-04,0.012892759,0,0.310846252,1,0.99180399,0.10008772,0,8.67E-04,0.026989997,0.142509648,4.33E-04,0.568629951,0.665826637,0.631177164,0,0,0,Eukaryota;Chordata;Chondrichthyes;;Squatinidae;Squatina;Squatina californica
0,0,0.018851526,0.031078646,6.49E-04,0.036185592,0,0,0,0.088478317,0.050260931,0.055387878,0.037753826,0.015355509,0.064547408,0.84179405,0.805127283,1,0,0,0.059420243,0.032879495,0.022416661,0.009864555,0.05523978,0.065147233,0.005960372,0,0.054744456,0.005248429,0.038187169,0.069340054,0.017959018,0.011098026,0,0.012453197,0.063711209,0.040559702,0,0.020491042,0.020795739,0.026235652,0,0.02503849,0.00229495,0.028993334,0.00849785,0.063728927,0.032445837,0.025941097,0.002766638,0.01848324,0.190300034,0.083853519,0.094187082,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea
0,0,0,0.030674522,0.036630349,0.014002132,0,0,0,0.101926537,0,0,0.022387451,0.015747821,0.008312884,0.043361052,0,0.049646584,0.021866717,0,0,0,9.61E-04,0.0769348,0.016594398,0,0,0,0,0.009805541,0,0.072357164,0,0.035301496,0.074200375,0.005032935,0.031824352,0.072129643,0.007284329,0.05477409,0.002644967,0.029625919,0.029713085,0.299570774,0.159495031,0.009624553,1,0.852822082,0.371452055,0.026047605,3.65E-04,0.027316964,0.027562907,0.075634109,0.064828262,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
0,0.002890096,0.031332766,0.026372675,0.218603369,0.657509693,0.025147868,0.123928003,0.049006189,0,0.025075183,0.121752925,0.054199752,0.077764804,0.113412576,0.002041277,0.001245852,0,0.014895378,0.097617694,7.22E-04,0.909806442,0,0.406114176,0.07735992,0.010064476,0.003875195,0.008448924,0,0.002551095,0.024390212,0.137057343,0.169860959,0.081001688,0,0,0.011331963,0.218314994,1,0.010241866,3.10E-04,0.002953846,0,0.004613615,0.011586746,3.50E-04,0,5.71E-04,0.052725345,0.177101078,0.472462752,0.346569858,2.36E-04,0,0,Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
